time="2022-02-27T08:07:33+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:1080"
time="2022-02-27T08:07:33+08:00" level=info msg="RESTful API listening at: 127.0.0.1:46321"
time="2022-02-27T08:07:33+08:00" level=info msg="Start initial compatible provider 🔰 节点选择"
time="2022-02-27T08:07:33+08:00" level=info msg="Start initial compatible provider 🛑 全球拦截"
time="2022-02-27T08:07:33+08:00" level=info msg="Start initial compatible provider 🌏 国内媒体"
time="2022-02-27T08:07:33+08:00" level=info msg="Start initial compatible provider 📲 电报信息"
time="2022-02-27T08:07:33+08:00" level=info msg="Start initial compatible provider 🐟 漏网之鱼"
time="2022-02-27T08:07:33+08:00" level=info msg="Start initial compatible provider Ⓜ️ 微软服务"
time="2022-02-27T08:07:33+08:00" level=info msg="Start initial compatible provider 🎯 全球直连"
time="2022-02-27T08:07:33+08:00" level=info msg="Start initial compatible provider ♻️ 自动选择"
time="2022-02-27T08:07:33+08:00" level=info msg="Start initial compatible provider 🌍 国外媒体"
time="2022-02-27T08:07:33+08:00" level=info msg="Start initial compatible provider 🍎 苹果服务"
time="2022-02-27T08:07:33+08:00" level=info msg="Start initial compatible provider ⛔️ 广告拦截"
time="2022-02-27T08:07:33+08:00" level=info msg="Start initial compatible provider 🎥 NETFLIX"
time="2022-02-27T08:07:33+08:00" level=info msg="Start initial compatible provider 🚫 运营劫持"
time="2022-02-27T08:07:33+08:00" level=error msg="Start Tun interface error: operation not permitted"
time="2022-02-27T08:18:49+08:00" level=info msg="[TCP] 127.0.0.1:34482 --> www.felixcloutier.com:443 using GLOBAL"
time="2022-02-27T08:29:56+08:00" level=info msg="[TCP] 127.0.0.1:34486 --> onedrive.live.com:443 using GLOBAL"
time="2022-02-27T08:29:56+08:00" level=info msg="[TCP] 127.0.0.1:34484 --> translate.google.cn:443 using GLOBAL"
time="2022-02-27T08:29:58+08:00" level=info msg="[TCP] 127.0.0.1:34488 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-02-27T08:30:00+08:00" level=info msg="[TCP] 127.0.0.1:34490 --> clients2.google.com:443 using GLOBAL"
time="2022-02-27T08:30:01+08:00" level=info msg="[TCP] 127.0.0.1:34492 --> www.youtube.com:443 using GLOBAL"
time="2022-02-27T08:30:01+08:00" level=info msg="[TCP] 127.0.0.1:34494 --> i.ytimg.com:443 using GLOBAL"
time="2022-02-27T08:30:01+08:00" level=info msg="[TCP] 127.0.0.1:34496 --> clients2.googleusercontent.com:443 using GLOBAL"
time="2022-02-27T08:30:04+08:00" level=info msg="[TCP] 127.0.0.1:34498 --> www.gstatic.cn:443 using GLOBAL"
time="2022-02-27T08:30:04+08:00" level=info msg="[TCP] 127.0.0.1:34500 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T08:30:04+08:00" level=info msg="[TCP] 127.0.0.1:34504 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T08:30:04+08:00" level=info msg="[TCP] 127.0.0.1:34502 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T08:30:09+08:00" level=info msg="[TCP] 127.0.0.1:34506 --> jnn-pa.googleapis.com:443 using GLOBAL"
time="2022-02-27T08:30:34+08:00" level=info msg="[TCP] 127.0.0.1:34508 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T08:34:13+08:00" level=info msg="[TCP] 127.0.0.1:34510 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T08:35:19+08:00" level=info msg="[TCP] 127.0.0.1:34512 --> translate.google.cn:443 using GLOBAL"
time="2022-02-27T08:38:19+08:00" level=info msg="[TCP] 127.0.0.1:34514 --> translate.google.cn:443 using GLOBAL"
time="2022-02-27T08:40:19+08:00" level=info msg="[TCP] 127.0.0.1:34516 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T08:40:45+08:00" level=info msg="[TCP] 127.0.0.1:34518 --> www.youtube.com:443 using GLOBAL"
time="2022-02-27T08:43:19+08:00" level=info msg="[TCP] 127.0.0.1:34520 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T08:44:57+08:00" level=info msg="[TCP] 127.0.0.1:34522 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-02-27T08:45:19+08:00" level=info msg="[TCP] 127.0.0.1:34526 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T08:46:19+08:00" level=info msg="[TCP] 127.0.0.1:34530 --> translate.google.cn:443 using GLOBAL"
time="2022-02-27T08:47:19+08:00" level=info msg="[TCP] 127.0.0.1:34532 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T08:47:27+08:00" level=info msg="[TCP] 127.0.0.1:34534 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T08:48:19+08:00" level=info msg="[TCP] 127.0.0.1:34536 --> translate.google.cn:443 using GLOBAL"
time="2022-02-27T08:51:19+08:00" level=info msg="[TCP] 127.0.0.1:34538 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T08:52:19+08:00" level=info msg="[TCP] 127.0.0.1:34540 --> www.youtube.com:443 using GLOBAL"
time="2022-02-27T08:53:19+08:00" level=info msg="[TCP] 127.0.0.1:34542 --> translate.google.cn:443 using GLOBAL"
time="2022-02-27T08:54:19+08:00" level=info msg="[TCP] 127.0.0.1:34544 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T08:56:19+08:00" level=info msg="[TCP] 127.0.0.1:34546 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T08:57:20+08:00" level=info msg="[TCP] 127.0.0.1:34548 --> translate.google.cn:443 using GLOBAL"
time="2022-02-27T09:00:00+08:00" level=info msg="[TCP] 127.0.0.1:34550 --> raw.githubusercontent.com:443 using GLOBAL"
